epoch,accuracy,loss,val_accuracy,val_loss
0,0.386382520198822,1.3179720640182495,0.48991355299949646,1.2545322179794312
1,0.6745086908340454,0.9432114362716675,0.6945244669914246,0.8818719983100891
2,0.8015499711036682,0.5626682639122009,0.7204610705375671,0.7726278901100159
3,0.8427899479866028,0.41925323009490967,0.7233429551124573,0.7361240983009338
4,0.8879047632217407,0.3305371105670929,0.7118155360221863,0.7852404117584229
5,0.9020204544067383,0.2697528302669525,0.6829971075057983,0.8505157828330994
6,0.9216717481613159,0.2281379997730255,0.6829971075057983,0.8841466307640076
7,0.9332964420318604,0.19319535791873932,0.6945244669914246,0.9284003376960754
8,0.9440907835960388,0.17059732973575592,0.6772334575653076,1.0622363090515137
9,0.9537780284881592,0.14522066712379456,0.6743515729904175,1.0598948001861572
10,0.9598671197891235,0.1348240077495575,0.680115282535553,1.116064190864563
11,0.9642956256866455,0.11775588244199753,0.6772334575653076,1.171119213104248
12,0.9678937196731567,0.10996506363153458,0.6570605039596558,1.210930585861206
13,0.9695543646812439,0.0966385006904602,0.6714697480201721,1.2744616270065308
14,0.9692776203155518,0.09441517293453217,0.6714697480201721,1.2359553575515747
15,0.972045361995697,0.09241916984319687,0.6743515729904175,1.282570242881775
16,0.9748131632804871,0.08490431308746338,0.6714697480201721,1.3625810146331787
17,0.975643515586853,0.08120766282081604,0.6829971075057983,1.3788917064666748
18,0.975089967250824,0.07874986529350281,0.6599423885345459,1.4028327465057373
19,0.9784113168716431,0.06913582980632782,0.6858789920806885,1.4192782640457153
20,0.9731525182723999,0.07726074010133743,0.680115282535553,1.470384955406189
21,0.977027416229248,0.07162277400493622,0.6484149694442749,1.5385173559188843
22,0.9778577089309692,0.06896411627531052,0.6829971075057983,1.4596916437149048
23,0.9781345129013062,0.06793246418237686,0.6772334575653076,1.4912559986114502
24,0.9784113168716431,0.06632839888334274,0.6657060384750366,1.557578682899475
